Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Tops - White,tops-white-qtm6,Premium quality tops - white,BrownButter,Apparel & Accessories > Clothing,Tops,"new-arrival, brownbutter, premium, indian-fashion, women",TRUE,active,W0743140A-1,,Size,XS,,,,,,,,1300,1600,527,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775818808/brownbutter_products/W0743140A_1.jpg,1,Tops - White - XS,,FALSE,Tops - White | BrownButter - Premium Fashion,"Shop Tops - White at BrownButter. Premium quality, affordable prices. Free shipping on orders above â‚¹999.",White,Apparel & Accessories > Clothing,Women,Adult (13+ years old),W0743140A,,,New,FALSE,,,,,
,,,,,,,TRUE,active,W0743140A-2,,Size,S,,,,,,,,1300,1600,527,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775818810/brownbutter_products/W0743140A_2.jpg,2,Tops - White - S,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W0743140A-3,,Size,M,,,,,,,,1300,1600,527,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W0743140A-4,,Size,L,,,,,,,,1300,1600,527,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W0743140A-5,,Size,XL,,,,,,,,1300,1600,527,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
Tops - Pink,tops-pink-f05t,Trending tops - pink collection,BrownButter,Apparel & Accessories > Clothing,Tops,"new-arrival, brownbutter, premium, indian-fashion, women",TRUE,active,W369Y25TP095-1,,Size,XS,,,,,,,,1200,1800,615,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659802/brownbutter_products/W369Y25TP095_1.jpg,1,Tops - Pink - XS,,FALSE,Tops - Pink | BrownButter - Premium Fashion,"Shop Tops - Pink at BrownButter. Premium quality, affordable prices. Free shipping on orders above â‚¹999.",Pink,Apparel & Accessories > Clothing,Women,Adult (13+ years old),W369Y25TP095,,,New,FALSE,,,,,
,,,,,,,TRUE,active,W369Y25TP095-2,,Size,S,,,,,,,,1200,1800,615,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659803/brownbutter_products/W369Y25TP095_2.jpg,2,Tops - Pink - S,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W369Y25TP095-3,,Size,M,,,,,,,,1200,1800,615,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W369Y25TP095-4,,Size,L,,,,,,,,1200,1800,615,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W369Y25TP095-5,,Size,XL,,,,,,,,1200,1800,615,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
Tops - Green,tops-green-gr4n,Comfortable and fashionable tops - green,BrownButter,Apparel & Accessories > Clothing,Tops,"new-arrival, brownbutter, premium, indian-fashion, women",TRUE,active,W369Y25TP150-1,,Size,XS,,,,,,,,1500,2200,732,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659804/brownbutter_products/W369Y25TP150_1.jpg,1,Tops - Green - XS,,FALSE,Tops - Green | BrownButter - Premium Fashion,"Shop Tops - Green at BrownButter. Premium quality, affordable prices. Free shipping on orders above â‚¹999.",Green,Apparel & Accessories > Clothing,Women,Adult (13+ years old),W369Y25TP150,,,New,FALSE,,,,,
,,,,,,,TRUE,active,W369Y25TP150-2,,Size,S,,,,,,,,1500,2200,732,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659805/brownbutter_products/W369Y25TP150_2.jpg,2,Tops - Green - S,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W369Y25TP150-3,,Size,M,,,,,,,,1500,2200,732,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W369Y25TP150-4,,Size,L,,,,,,,,1500,2200,732,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W369Y25TP150-5,,Size,XL,,,,,,,,1500,2200,732,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
Tops - Black,tops-black-ay1d,Trending tops - black collection,BrownButter,Apparel & Accessories > Clothing,Tops,"new-arrival, brownbutter, premium, indian-fashion, women",TRUE,active,W369Y25TP424-1,,Size,XS,,,,,,,,1300,2000,662,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659806/brownbutter_products/W369Y25TP424_1.jpg,1,Tops - Black - XS,,FALSE,Tops - Black | BrownButter - Premium Fashion,"Shop Tops - Black at BrownButter. Premium quality, affordable prices. Free shipping on orders above â‚¹999.",Black,Apparel & Accessories > Clothing,Women,Adult (13+ years old),W369Y25TP424,,,New,FALSE,,,,,
,,,,,,,TRUE,active,W369Y25TP424-2,,Size,S,,,,,,,,1300,2000,662,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659807/brownbutter_products/W369Y25TP424_2.jpg,2,Tops - Black - S,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W369Y25TP424-3,,Size,M,,,,,,,,1300,2000,662,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W369Y25TP424-4,,Size,L,,,,,,,,1300,2000,662,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W369Y25TP424-5,,Size,XL,,,,,,,,1300,2000,662,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
Tops - Orange,tops-orange-lb7w,Comfortable and fashionable tops - orange,BrownButter,Apparel & Accessories > Clothing,Tops,"new-arrival, brownbutter, premium, indian-fashion, women",TRUE,active,W39216331-1,,Size,XS,,,,,,,,1100,1700,550,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659808/brownbutter_products/W39216331_1.jpg,1,Tops - Orange - XS,,FALSE,Tops - Orange | BrownButter - Premium Fashion,"Shop Tops - Orange at BrownButter. Premium quality, affordable prices. Free shipping on orders above â‚¹999.",Orange,Apparel & Accessories > Clothing,Women,Adult (13+ years old),W39216331,,,New,FALSE,,,,,
,,,,,,,TRUE,active,W39216331-2,,Size,S,,,,,,,,1100,1700,550,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659809/brownbutter_products/W39216331_2.jpg,2,Tops - Orange - S,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W39216331-3,,Size,M,,,,,,,,1100,1700,550,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W39216331-4,,Size,L,,,,,,,,1100,1700,550,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W39216331-5,,Size,XL,,,,,,,,1100,1700,550,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
Tops - White,tops-white-rugh,Stylish tops - white for everyday wear,BrownButter,Apparel & Accessories > Clothing,Tops,"new-arrival, brownbutter, premium, indian-fashion, women",TRUE,active,W39216522-1,,Size,XS,,,,,,,,1200,1800,585,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659810/brownbutter_products/W39216522_1.jpg,1,Tops - White - XS,,FALSE,Tops - White | BrownButter - Premium Fashion,"Shop Tops - White at BrownButter. Premium quality, affordable prices. Free shipping on orders above â‚¹999.",White,Apparel & Accessories > Clothing,Women,Adult (13+ years old),W39216522,,,New,FALSE,,,,,
,,,,,,,TRUE,active,W39216522-2,,Size,S,,,,,,,,1200,1800,585,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659811/brownbutter_products/W39216522_2.jpg,2,Tops - White - S,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W39216522-3,,Size,M,,,,,,,,1200,1800,585,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W39216522-4,,Size,L,,,,,,,,1200,1800,585,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W39216522-5,,Size,XL,,,,,,,,1200,1800,585,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
Tops - Brown,tops-brown-hcv0,Trending tops - brown collection,BrownButter,Apparel & Accessories > Clothing,Tops,"new-arrival, brownbutter, premium, indian-fashion, women",TRUE,active,W395ZJ2621A-1,,Size,XS,,,,,,,,1100,1700,569,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659813/brownbutter_products/W395ZJ2621A_1.jpg,1,Tops - Brown - XS,,FALSE,Tops - Brown | BrownButter - Premium Fashion,"Shop Tops - Brown at BrownButter. Premium quality, affordable prices. Free shipping on orders above â‚¹999.",Brown,Apparel & Accessories > Clothing,Women,Adult (13+ years old),W395ZJ2621A,,,New,FALSE,,,,,
,,,,,,,TRUE,active,W395ZJ2621A-2,,Size,S,,,,,,,,1100,1700,569,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659814/brownbutter_products/W395ZJ2621A_2.jpg,2,Tops - Brown - S,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W395ZJ2621A-3,,Size,M,,,,,,,,1100,1700,569,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W395ZJ2621A-4,,Size,L,,,,,,,,1100,1700,569,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W395ZJ2621A-5,,Size,XL,,,,,,,,1100,1700,569,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
Tops - Blue,tops-blue-49ao,Premium quality tops - blue,BrownButter,Apparel & Accessories > Clothing,Tops,"new-arrival, brownbutter, premium, indian-fashion, women",TRUE,active,W395ZJ2621B-1,,Size,XS,,,,,,,,1100,1700,569,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659815/brownbutter_products/W395ZJ2621B_1.jpg,1,Tops - Blue - XS,,FALSE,Tops - Blue | BrownButter - Premium Fashion,"Shop Tops - Blue at BrownButter. Premium quality, affordable prices. Free shipping on orders above â‚¹999.",Blue,Apparel & Accessories > Clothing,Women,Adult (13+ years old),W395ZJ2621B,,,New,FALSE,,,,,
,,,,,,,TRUE,active,W395ZJ2621B-2,,Size,S,,,,,,,,1100,1700,569,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659816/brownbutter_products/W395ZJ2621B_2.jpg,2,Tops - Blue - S,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W395ZJ2621B-3,,Size,M,,,,,,,,1100,1700,569,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W395ZJ2621B-4,,Size,L,,,,,,,,1100,1700,569,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W395ZJ2621B-5,,Size,XL,,,,,,,,1100,1700,569,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
Tops - Green,tops-green-10f0,Stylish tops - green for everyday wear,BrownButter,Apparel & Accessories > Clothing,Tops,"new-arrival, brownbutter, premium, indian-fashion, women",TRUE,active,W3972695-1,,Size,XS,,,,,,,,900,1300,431,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659817/brownbutter_products/W3972695_1.jpg,1,Tops - Green - XS,,FALSE,Tops - Green | BrownButter - Premium Fashion,"Shop Tops - Green at BrownButter. Premium quality, affordable prices. Free shipping on orders above â‚¹999.",Green,Apparel & Accessories > Clothing,Women,Adult (13+ years old),W3972695,,,New,FALSE,,,,,
,,,,,,,TRUE,active,W3972695-2,,Size,S,,,,,,,,900,1300,431,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659818/brownbutter_products/W3972695_2.jpg,2,Tops - Green - S,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W3972695-3,,Size,M,,,,,,,,900,1300,431,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W3972695-4,,Size,L,,,,,,,,900,1300,431,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,W3972695-5,,Size,XL,,,,,,,,900,1300,431,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
