Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Skirt & Top - Red,skirt-&-top-red-s0qc,Stylish skirt & top - red for everyday wear,BrownButter,Apparel & Accessories > Clothing,Skirt & Top,"new-arrival, brownbutter, premium, indian-fashion, women",TRUE,active,918 Send flowers-1,,Size,XS,,,,,,,,1200,1560,,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775909129/brownbutter_products/918%20Send%20flowers_1.jpg,1,Skirt & Top - Red - XS,,FALSE,Skirt & Top - Red | BrownButter - Premium Fashion,"Shop Skirt & Top - Red at BrownButter. Premium quality, affordable prices. Free shipping on orders above â‚¹999.",Red,Apparel & Accessories > Clothing,Women,Adult (13+ years old),918 Send flowers,,,New,FALSE,,,,,
,,,,,,,TRUE,active,918 Send flowers-2,,Size,S,,,,,,,,1200,1560,,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775909130/brownbutter_products/918%20Send%20flowers_2.jpg,2,Skirt & Top - Red - S,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,918 Send flowers-3,,Size,M,,,,,,,,1200,1560,,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775909132/brownbutter_products/918%20Send%20flowers_3.jpg,3,Skirt & Top - Red - M,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,918 Send flowers-4,,Size,L,,,,,,,,1200,1560,,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,918 Send flowers-5,,Size,XL,,,,,,,,1200,1560,,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
Dress - Yellow,dress-yellow-23ii,Trending dress - yellow collection,BrownButter,Apparel & Accessories > Clothing,Dress,"new-arrival, brownbutter, premium, indian-fashion, women",TRUE,active,8125-1,,Size,XS,,,,,,,,1300,1690,,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775909124/brownbutter_products/8125_1.jpg,1,Dress - Yellow - XS,,FALSE,Dress - Yellow | BrownButter - Premium Fashion,"Shop Dress - Yellow at BrownButter. Premium quality, affordable prices. Free shipping on orders above â‚¹999.",Yellow,Apparel & Accessories > Clothing,Women,Adult (13+ years old),8125,,,New,FALSE,,,,,
,,,,,,,TRUE,active,8125-2,,Size,S,,,,,,,,1300,1690,,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775909126/brownbutter_products/8125_2.jpg,2,Dress - Yellow - S,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,8125-3,,Size,M,,,,,,,,1300,1690,,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775909128/brownbutter_products/8125_3.jpg,3,Dress - Yellow - M,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,8125-4,,Size,L,,,,,,,,1300,1690,,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659719/brownbutter_products/8125_4.jpg,4,Dress - Yellow - L,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,8125-5,,Size,XL,,,,,,,,1300,1690,,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659720/brownbutter_products/8125_5.jpg,5,Dress - Yellow - XL,,FALSE,,,,,,,,,,,FALSE,,,,,
Dress - Sky Blue,dress-sky-blue-6f5j,Premium quality dress - sky blue,BrownButter,Apparel & Accessories > Clothing,Dress,"new-arrival, brownbutter, premium, indian-fashion, women",TRUE,active,F1005-1,,Size,XS,,,,,,,,1600,2080,,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775908704/brownbutter_products/F1005_1.jpg,1,Dress - Sky Blue - XS,,FALSE,Dress - Sky Blue | BrownButter - Premium Fashion,"Shop Dress - Sky Blue at BrownButter. Premium quality, affordable prices. Free shipping on orders above â‚¹999.",Sky Blue,Apparel & Accessories > Clothing,Women,Adult (13+ years old),F1005,,,New,FALSE,,,,,
,,,,,,,TRUE,active,F1005-2,,Size,S,,,,,,,,1600,2080,,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775908705/brownbutter_products/F1005_2.jpg,2,Dress - Sky Blue - S,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,F1005-3,,Size,M,,,,,,,,1600,2080,,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775908706/brownbutter_products/F1005_3.jpg,3,Dress - Sky Blue - M,,FALSE,,,,,,,,,,,FALSE,,,,,
,,,,,,,TRUE,active,F1005-4,,Size,L,,,,,,,,1600,2080,,TRUE,,,,,,shopify,5,DENY,500,g,TRUE,manual,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659725/brownbutter_products/F1005_4.jpg,4,Dress - Sky Blue - L,,FALSE,,,,,,,,,,,FALSE,,,,,
