Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Costume theme (product.metafields.shopify.costume-theme),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Size (product.metafields.shopify.size),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
tank-tops-maroon-lpkg,Tank Tops - Maroon,<p>Must-have tank tops - maroon</p>,BrownButter,Apparel & Accessories > Clothing > Clothing Tops > Tank Tops,Tank Tops,"brownbutter, indian-fashion, new-arrival, premium, women",TRUE,Size,s,product.metafields.shopify.size,,,,,,,W303T6120990KB-1,0,shopify,5,deny,manual,1000,1300,TRUE,TRUE,,,,,,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659776/brownbutter_products/W303T6120990KB_1.jpg,1,,FALSE,,,adults,blue,,casual; everyday,,polyester,s; xs; l; xl; m,,,female,,kg,,,active
tank-tops-maroon-lpkg,,,,,,,,,xs,,,,,,,,W303T6120990KB-2,0,shopify,5,deny,manual,1000,1300,TRUE,TRUE,,,,,,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659777/brownbutter_products/W303T6120990KB_2.jpg,2,,,,,,,,,,,,,,,,kg,,,
tank-tops-maroon-lpkg,,,,,,,,,l,,,,,,,,W303T6120990KB-3,0,shopify,5,deny,manual,1000,1300,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,
tank-tops-maroon-lpkg,,,,,,,,,xl,,,,,,,,W303T6120990KB-4,0,shopify,5,deny,manual,1000,1300,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,
tank-tops-maroon-lpkg,,,,,,,,,m,,,,,,,,W303T6120990KB-5,0,shopify,5,deny,manual,1000,1300,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,
skorts-black-pl5j,Skorts - Black,<p>Stylish skorts - black for everyday wear</p>,BrownButter,Apparel & Accessories > Clothing > Skorts,Skorts,"brownbutter, indian-fashion, new-arrival, premium, women",TRUE,Size,s,product.metafields.shopify.size,,,,,,,W393BF404A-1,0,shopify,5,deny,manual,1200,1560,TRUE,TRUE,,,,,,https://res.cloudinary.com/dti84w6xv/image/upload/v1775908779/brownbutter_products/W393BF404A_1.jpg,1,,FALSE,,,adults,blue,,casual; everyday,,polyester,s; xs; l; xl; m,,,female,,kg,,,active
skorts-black-pl5j,,,,,,,,,xs,,,,,,,,W393BF404A-2,0,shopify,5,deny,manual,1200,1560,TRUE,TRUE,,,,,,https://res.cloudinary.com/dti84w6xv/image/upload/v1775908781/brownbutter_products/W393BF404A_2.jpg,2,,,,,,,,,,,,,,,,kg,,,
skorts-black-pl5j,,,,,,,,,l,,,,,,,,W393BF404A-3,0,shopify,5,deny,manual,1200,1560,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,
skorts-black-pl5j,,,,,,,,,xl,,,,,,,,W393BF404A-4,0,shopify,5,deny,manual,1200,1560,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,
skorts-black-pl5j,,,,,,,,,m,,,,,,,,W393BF404A-5,0,shopify,5,deny,manual,1200,1560,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,
skorts-grey-dctg,Skorts - Grey,<p>Trending skorts - grey collection</p>,BrownButter,Apparel & Accessories > Clothing > Skorts,Skorts,"brownbutter, indian-fashion, new-arrival, premium, women",TRUE,Size,s,product.metafields.shopify.size,,,,,,,W393BF4214B-1,0,shopify,5,deny,manual,1300,1690,TRUE,TRUE,,,,,,https://res.cloudinary.com/dti84w6xv/image/upload/v1775908782/brownbutter_products/W393BF4214B_1.jpg,1,,FALSE,,,adults,blue,,casual; everyday,,polyester,s; xs; l; xl; m,,,female,,kg,,,active
skorts-grey-dctg,,,,,,,,,xs,,,,,,,,W393BF4214B-2,0,shopify,5,deny,manual,1300,1690,TRUE,TRUE,,,,,,https://res.cloudinary.com/dti84w6xv/image/upload/v1775908783/brownbutter_products/W393BF4214B_2.jpg,2,,,,,,,,,,,,,,,,kg,,,
skorts-grey-dctg,,,,,,,,,l,,,,,,,,W393BF4214B-3,0,shopify,5,deny,manual,1300,1690,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,
skorts-grey-dctg,,,,,,,,,xl,,,,,,,,W393BF4214B-4,0,shopify,5,deny,manual,1300,1690,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,
skorts-grey-dctg,,,,,,,,,m,,,,,,,,W393BF4214B-5,0,shopify,5,deny,manual,1300,1690,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,
tank-tops-black-eae2,Tank Tops - Black,<p>Trending tank tops - black collection</p>,BrownButter,Apparel & Accessories > Clothing > Clothing Tops > Tank Tops,Tank Tops,"brownbutter, indian-fashion, new-arrival, premium, women",TRUE,Size,s,product.metafields.shopify.size,,,,,,,W48925278B-1,0,shopify,5,deny,manual,800,1040,TRUE,TRUE,,,,,,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659845/brownbutter_products/W48925278B_1.jpg,1,,FALSE,,,adults,blue,,casual; everyday,,polyester,s; xs; l; xl; m,,,female,,kg,,,active
tank-tops-black-eae2,,,,,,,,,xs,,,,,,,,W48925278B-2,0,shopify,5,deny,manual,800,1040,TRUE,TRUE,,,,,,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659846/brownbutter_products/W48925278B_2.jpg,2,,,,,,,,,,,,,,,,kg,,,
tank-tops-black-eae2,,,,,,,,,l,,,,,,,,W48925278B-3,0,shopify,5,deny,manual,800,1040,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,
tank-tops-black-eae2,,,,,,,,,xl,,,,,,,,W48925278B-4,0,shopify,5,deny,manual,800,1040,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,
tank-tops-black-eae2,,,,,,,,,m,,,,,,,,W48925278B-5,0,shopify,5,deny,manual,800,1040,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,
