Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Costume theme (product.metafields.shopify.costume-theme),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Size (product.metafields.shopify.size),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
skirt-&-top-red-s0qc,Skirt & Top - Red,<p>Stylish skirt & top - red for everyday wear</p>,BrownButter,Apparel & Accessories > Clothing > Outfit Sets,Outfit Sets,"brownbutter, indian-fashion, new-arrival, premium, women",TRUE,Size,s,product.metafields.shopify.size,,,,,,,918 Send flowers-1,0,shopify,5,deny,manual,1200,1560,TRUE,TRUE,,,,,,https://res.cloudinary.com/dti84w6xv/image/upload/v1775909129/brownbutter_products/918%20Send%20flowers_1.jpg,1,,FALSE,,,adults,blue,,casual; everyday,,polyester,s; xs; l; xl; m,,,female,,kg,,,active
skirt-&-top-red-s0qc,,,,,,,,,xs,,,,,,,,918 Send flowers-2,0,shopify,5,deny,manual,1200,1560,TRUE,TRUE,,,,,,https://res.cloudinary.com/dti84w6xv/image/upload/v1775909130/brownbutter_products/918%20Send%20flowers_2.jpg,2,,,,,,,,,,,,,,,,kg,,,
skirt-&-top-red-s0qc,,,,,,,,,l,,,,,,,,918 Send flowers-3,0,shopify,5,deny,manual,1200,1560,TRUE,TRUE,,,,,,https://res.cloudinary.com/dti84w6xv/image/upload/v1775909132/brownbutter_products/918%20Send%20flowers_3.jpg,3,,,,,,,,,,,,,,,,kg,,,
skirt-&-top-red-s0qc,,,,,,,,,xl,,,,,,,,918 Send flowers-4,0,shopify,5,deny,manual,1200,1560,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,
skirt-&-top-red-s0qc,,,,,,,,,m,,,,,,,,918 Send flowers-5,0,shopify,5,deny,manual,1200,1560,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,
dress-yellow-23ii,Dress - Yellow,<p>Trending dress - yellow collection</p>,BrownButter,Apparel & Accessories > Clothing > Dresses,Dresses,"brownbutter, indian-fashion, new-arrival, premium, women",TRUE,Size,s,product.metafields.shopify.size,,,,,,,8125-1,0,shopify,5,deny,manual,1300,1690,TRUE,TRUE,,,,,,https://res.cloudinary.com/dti84w6xv/image/upload/v1775909124/brownbutter_products/8125_1.jpg,1,,FALSE,,,adults,blue,,casual; everyday,,polyester,s; xs; l; xl; m,,,female,,kg,,,active
dress-yellow-23ii,,,,,,,,,xs,,,,,,,,8125-2,0,shopify,5,deny,manual,1300,1690,TRUE,TRUE,,,,,,https://res.cloudinary.com/dti84w6xv/image/upload/v1775909126/brownbutter_products/8125_2.jpg,2,,,,,,,,,,,,,,,,kg,,,
dress-yellow-23ii,,,,,,,,,l,,,,,,,,8125-3,0,shopify,5,deny,manual,1300,1690,TRUE,TRUE,,,,,,https://res.cloudinary.com/dti84w6xv/image/upload/v1775909128/brownbutter_products/8125_3.jpg,3,,,,,,,,,,,,,,,,kg,,,
dress-yellow-23ii,,,,,,,,,xl,,,,,,,,8125-4,0,shopify,5,deny,manual,1300,1690,TRUE,TRUE,,,,,,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659719/brownbutter_products/8125_4.jpg,4,,,,,,,,,,,,,,,,kg,,,
dress-yellow-23ii,,,,,,,,,m,,,,,,,,8125-5,0,shopify,5,deny,manual,1300,1690,TRUE,TRUE,,,,,,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659720/brownbutter_products/8125_5.jpg,5,,,,,,,,,,,,,,,,kg,,,
tank-tops-black-mwjd,Tank Tops - Black,<p>Premium quality tank tops - black</p>,BrownButter,Apparel & Accessories > Clothing > Clothing Tops > Tank Tops,Tank Tops,"brownbutter, indian-fashion, new-arrival, premium, women",TRUE,Size,s,product.metafields.shopify.size,,,,,,,W519FF207127B-1,0,shopify,5,deny,manual,1100,1430,TRUE,TRUE,,,,,,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659851/brownbutter_products/W519FF207127B_1.jpg,1,,FALSE,,,adults,blue,,casual; everyday,,polyester,s; xs; l; xl; m,,,female,,kg,,,active
tank-tops-black-mwjd,,,,,,,,,xs,,,,,,,,W519FF207127B-2,0,shopify,5,deny,manual,1100,1430,TRUE,TRUE,,,,,,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659853/brownbutter_products/W519FF207127B_2.jpg,2,,,,,,,,,,,,,,,,kg,,,
tank-tops-black-mwjd,,,,,,,,,l,,,,,,,,W519FF207127B-3,0,shopify,5,deny,manual,1100,1430,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,
tank-tops-black-mwjd,,,,,,,,,xl,,,,,,,,W519FF207127B-4,0,shopify,5,deny,manual,1100,1430,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,
tank-tops-black-mwjd,,,,,,,,,m,,,,,,,,W519FF207127B-5,0,shopify,5,deny,manual,1100,1430,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,
blouses-black-l6dm,Blouses - Black,<p>Comfortable and fashionable blouses - black</p>,BrownButter,Apparel & Accessories > Clothing > Clothing Tops > Blouses,Blouses,"brownbutter, indian-fashion, new-arrival, premium, women",TRUE,Size,s,product.metafields.shopify.size,,,,,,,W519FF207295A-1,0,shopify,5,deny,manual,1100,1430,TRUE,TRUE,,,,,,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659854/brownbutter_products/W519FF207295A_1.jpg,1,,FALSE,,,adults,blue,,casual; everyday,,polyester,s; xs; l; xl; m,,,female,,kg,,,active
blouses-black-l6dm,,,,,,,,,xs,,,,,,,,W519FF207295A-2,0,shopify,5,deny,manual,1100,1430,TRUE,TRUE,,,,,,https://res.cloudinary.com/dti84w6xv/image/upload/v1775659854/brownbutter_products/W519FF207295A_2.jpg,2,,,,,,,,,,,,,,,,kg,,,
blouses-black-l6dm,,,,,,,,,l,,,,,,,,W519FF207295A-3,0,shopify,5,deny,manual,1100,1430,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,
blouses-black-l6dm,,,,,,,,,xl,,,,,,,,W519FF207295A-4,0,shopify,5,deny,manual,1100,1430,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,
blouses-black-l6dm,,,,,,,,,m,,,,,,,,W519FF207295A-5,0,shopify,5,deny,manual,1100,1430,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,kg,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
